,Primary Instructor,Course Title,Number,YearTerm,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Course,ACP,CS,HUM,NAT,QR,SBS
440,"Pyo, Yeah In",Intro to Popular TV & Movies,100.0,2019-fa,16.0,15.0,0.0,20.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MACS 100,,WCC,LA,,,
441,"Rojas Alvarez, Jorge",Intro to Popular TV & Movies,100.0,2019-fa,24.0,8.0,17.0,5.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,MACS 100,,WCC,LA,,,
442,"Davenport, Stephen M",Intro to Creative Writing,100.0,2019-fa,0.0,9.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,CW 100,,,LA,,,
443,"Price, Julie P",Intro to Creative Writing,100.0,2019-fa,0.0,29.0,6.0,2.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,CW 100,,,LA,,,
444,"Davis, Neal E",Intro Computing: Engrg & Sci,101.0,2018-fa,263.0,162.0,72.0,59.0,40.0,16.0,12.0,11.0,5.0,8.0,7.0,6.0,11.0,0.0,CS 101,,,,,QR2,
445,"Davis, Neal E",Intro Computing: Engrg & Sci,101.0,2019-fa,282.0,135.0,62.0,47.0,28.0,16.0,7.0,6.0,3.0,4.0,3.0,5.0,12.0,0.0,CS 101,,,,,QR2,
446,"Day, Thomas R",Reacting to the Past,203.0,2018-fa,4.0,13.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,HIST 203,,,HP,,,
447,"Dean, Elizabeth",Western Civ to 1660,141.0,2018-fa,1.0,3.0,2.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HIST 141,,WCC,HP,,,
448,"Diaz, Valerie M",Western Civ to 1660,141.0,2018-fa,2.0,8.0,10.0,3.0,9.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,HIST 141,,WCC,HP,,,
449,"Decoste, Donald J",Accelerated Chemistry I,202.0,2018-fa,7.0,19.0,24.0,17.0,24.0,21.0,12.0,23.0,12.0,6.0,15.0,4.0,14.0,1.0,CHEM 202,,,,PS,,
450,"Decoste, Donald J",Accelerated Chemistry I,202.0,2019-fa,6.0,20.0,18.0,25.0,12.0,25.0,13.0,13.0,16.0,8.0,8.0,8.0,9.0,3.0,CHEM 202,,,,PS,,
451,"Delanthamajalu, Shwetha",Intro Gender & Women's Studies,100.0,2019-fa,5.0,16.0,7.0,4.0,6.0,2.0,1.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,GWS 100,,,,,,SS
452,"Delanthamajalu, Shwetha",Intro Gender & Women's Studies,100.0,2019-fa,5.0,16.0,7.0,4.0,6.0,2.0,1.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,HDFS 140,,,,,,SS
453,"Delanthamajalu, Shwetha",Intro Gender & Women's Studies,100.0,2019-fa,5.0,16.0,7.0,4.0,6.0,2.0,1.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,SOC 130,,,,,,SS
454,"Egwuatu, Chibundo A",Intro Gender & Women's Studies,100.0,2019-fa,2.0,14.0,9.0,9.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,GWS 100,,,,,,SS
455,"Egwuatu, Chibundo A",Intro Gender & Women's Studies,100.0,2019-fa,2.0,14.0,9.0,9.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,HDFS 140,,,,,,SS
456,"Egwuatu, Chibundo A",Intro Gender & Women's Studies,100.0,2019-fa,2.0,14.0,9.0,9.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,SOC 130,,,,,,SS
457,"Dell, Brennan M","Language, Technology & Society",270.0,2019-fa,16.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,LING 270,,WCC,,,,BSC
458,"DiFilippo, Kristen N",Leadership in Health,230.0,2018-fa,16.0,15.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,IHLT 230,,,,,,SS
459,"DiFilippo, Kristen N",Leadership in Health,230.0,2019-fa,15.0,25.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,IHLT 230,,,,,,SS
460,"DiIanni, Isaac",Microeconomic Principles,102.0,2019-fa,68.0,138.0,86.0,66.0,67.0,42.0,26.0,32.0,18.0,12.0,12.0,8.0,10.0,1.0,ECON 102,,,,,,SS
461,"Vazquez, Jose J",Microeconomic Principles,102.0,2019-fa,999.0,379.0,96.0,64.0,47.0,18.0,28.0,27.0,11.0,5.0,13.0,2.0,29.0,3.0,ECON 102,,,,,,SS
462,"Dilgin, Tolgahan",Intro to Political Science,100.0,2019-fa,11.0,6.0,11.0,14.0,2.0,4.0,5.0,3.0,5.0,1.0,0.0,0.0,5.0,0.0,PS 100,,,,,,SS
463,"Huh, Seung-Uk",Intro to Political Science,100.0,2019-fa,2.0,16.0,13.0,11.0,7.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,5.0,1.0,PS 100,,,,,,SS
464,"Kourtikakis, Konstantinos",Intro to Political Science,100.0,2019-fa,22.0,51.0,29.0,32.0,28.0,15.0,7.0,8.0,4.0,1.0,2.0,0.0,2.0,0.0,PS 100,,,,,,SS
465,"Pryor, Matthew R",Intro to Political Science,100.0,2019-fa,1.0,2.0,9.0,4.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,PS 100,,,,,,SS
466,"Dill, Brian",Introduction to Poverty,161.0,2018-fa,0.0,22.0,12.0,3.0,3.0,5.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,SOC 161,,WCC,,,,SS
467,"Dixon, Travis L",Intro to Mediated Comm,277.0,2018-fa,4.0,11.0,9.0,7.0,14.0,12.0,6.0,6.0,5.0,3.0,2.0,5.0,4.0,1.0,CMN 277,,,,,,SS
468,"Dobbs, Theresa M",Theory of Arithmetic,103.0,2019-fa,2.0,14.0,10.0,13.0,21.0,10.0,3.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,MATH 103,,,,,QR1,
469,"Dominguez, Virginia R",Images of the Other,268.0,2019-fa,1.0,5.0,16.0,11.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,ANTH 268,ACP,WCC,HP,,,
470,"Dowling, Julie",Chicanas&Latinas: Self&Society,392.0,2018-fa,4.0,10.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GWS 392,ACP,,,,,
471,"Dowling, Julie",Chicanas&Latinas: Self&Society,392.0,2018-fa,4.0,10.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LLS 392,ACP,,,,,
472,"Dowling, Julie",Chicanas&Latinas: Self&Society,392.0,2018-fa,4.0,10.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOC 392,ACP,,,,,
473,"Dowling, Julie",Chicanas&Latinas: Self&Society,392.0,2019-fa,0.0,19.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,GWS 392,ACP,,,,,
474,"Dowling, Julie",Chicanas&Latinas: Self&Society,392.0,2019-fa,0.0,19.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,LLS 392,ACP,,,,,
475,"Dowling, Julie",Chicanas&Latinas: Self&Society,392.0,2019-fa,0.0,19.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,SOC 392,ACP,,,,,
476,"Dunlap Johnson, Kenna E",Introduction to Social Work,200.0,2018-fa,1.0,8.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,SOCW 200,,,,,,SS
477,"Earls Larrison, Tara",Introduction to Social Work,200.0,2018-fa,1.0,15.0,14.0,7.0,13.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,SOCW 200,,,,,,SS
478,"Dunlap Johnson, Kenna E",Introduction to Social Work,200.0,2019-fa,7.0,6.0,13.0,6.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,SOCW 200,,,,,,SS
479,"Earls Larrison, Tara",Introduction to Social Work,200.0,2019-fa,4.0,17.0,21.0,18.0,7.0,7.0,2.0,4.0,1.0,0.0,1.0,0.0,5.0,0.0,SOCW 200,,,,,,SS
480,"Dunne, Bryan C",Killer Skies: Astro-Disasters,150.0,2018-fa,10.0,37.0,14.0,15.0,13.0,6.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,ASTR 150,,,,PS,,
481,"Dunne, Bryan C",Killer Skies: Astro-Disasters,150.0,2019-fa,11.0,36.0,15.0,8.0,8.0,3.0,1.0,4.0,4.0,1.0,2.0,0.0,1.0,1.0,ASTR 150,,,,PS,,
482,"Dunne, Bryan C",Stars and Galaxies,122.0,2018-fa,11.0,55.0,29.0,16.0,24.0,10.0,8.0,5.0,1.0,6.0,1.0,1.0,4.0,0.0,ASTR 122,,,,PS,QR2,
483,"Dunne, Bryan C",Stars and Galaxies,122.0,2019-fa,11.0,42.0,24.0,33.0,20.0,12.0,13.0,8.0,1.0,2.0,4.0,3.0,2.0,1.0,ASTR 122,,,,PS,QR2,
484,"Eagen, Megan K",Introd to the Art of Music,130.0,2018-fa,26.0,34.0,38.0,13.0,10.0,7.0,15.0,7.0,3.0,5.0,2.0,1.0,7.0,2.0,MUS 130,,WCC,LA,,,
485,"Eagen, Megan K",Introd to the Art of Music,130.0,2019-fa,34.0,35.0,21.0,21.0,5.0,13.0,15.0,4.0,11.0,1.0,3.0,1.0,3.0,3.0,MUS 130,,WCC,LA,,,
486,"Eagen, Megan K",The History of Music I,313.0,2018-fa,6.0,17.0,9.0,20.0,16.0,11.0,6.0,5.0,3.0,2.0,2.0,0.0,8.0,0.0,MUS 313,,,LA,,,
487,"Ebel, Jonathan H","Religion, Violence & America",236.0,2019-fa,0.0,6.0,5.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,HIST 290,,WCC,,,,
488,"Ebel, Jonathan H","Religion, Violence & America",236.0,2019-fa,0.0,6.0,5.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,REL 236,,WCC,,,,
489,"Edwards, Adam D",Logic and Reasoning,102.0,2018-fa,22.0,74.0,38.0,25.0,23.0,20.0,20.0,10.0,6.0,6.0,7.0,7.0,19.0,0.0,PHIL 102,,,HP,,,
490,"Frank, Devin",Logic and Reasoning,102.0,2018-fa,0.0,24.0,13.0,15.0,13.0,5.0,3.0,4.0,3.0,1.0,0.0,0.0,3.0,0.0,PHIL 102,,,HP,,,
491,"Edwards, Adam D",Logic and Reasoning,102.0,2019-fa,31.0,36.0,26.0,16.0,26.0,16.0,13.0,19.0,13.0,4.0,5.0,6.0,22.0,2.0,PHIL 102,,,HP,,,
492,"Levinstein, Benjamin A",Logic and Reasoning,102.0,2019-fa,10.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,PHIL 102,,,HP,,,
493,"Ellingson, Hannah G",Asian Mythology,104.0,2019-fa,7.0,24.0,19.0,11.0,8.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,ASST 104,,NW,HP,,,
494,"Ellingson, Hannah G",Asian Mythology,104.0,2019-fa,7.0,24.0,19.0,11.0,8.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,2.0,0.0,REL 104,,NW,HP,,,
495,"Zhang, Shaodan",Asian Mythology,104.0,2019-fa,0.0,10.0,28.0,19.0,10.0,3.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,ASST 104,,NW,HP,,,
496,"Zhang, Shaodan",Asian Mythology,104.0,2019-fa,0.0,10.0,28.0,19.0,10.0,3.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,REL 104,,NW,HP,,,
497,"Elliott, Alexandria F",Companion Animal Biology &Care,207.0,2018-fa,24.0,60.0,12.0,9.0,13.0,5.0,1.0,8.0,2.0,0.0,1.0,0.0,4.0,2.0,ANSC 207,,,,LS,,
498,"Lewis, Justin D",Companion Animal Biology &Care,207.0,2018-fa,51.0,55.0,10.0,20.0,9.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,ANSC 207,,,,LS,,
499,"Myers, Kayla A",Companion Animal Biology &Care,207.0,2018-fa,13.0,9.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,ANSC 207,,,,LS,,
500,"Ellis, Matthew R",Finite Mathematics,124.0,2019-fa,2.0,2.0,5.0,4.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,MATH 124,,,,,QR1,
501,"Jones, Paul T",Finite Mathematics,124.0,2019-fa,2.0,7.0,2.0,5.0,10.0,7.0,5.0,0.0,1.0,4.0,3.0,2.0,0.0,0.0,MATH 124,,,,,QR1,
502,"Soyoye, Olushola O",Finite Mathematics,124.0,2019-fa,4.0,6.0,5.0,3.0,6.0,2.0,6.0,2.0,3.0,2.0,1.0,1.0,4.0,0.0,MATH 124,,,,,QR1,
503,"Emmert, Jason L",Intro to Leadership Studies,260.0,2018-fa,48.0,48.0,16.0,16.0,12.0,8.0,10.0,7.0,3.0,1.0,0.0,0.0,1.0,0.0,AGED 260,,,,,,SS
504,"Emmert, Jason L",World Animal Resources,205.0,2019-fa,144.0,48.0,18.0,16.0,7.0,4.0,6.0,5.0,0.0,0.0,1.0,0.0,8.0,0.0,ANSC 205,ACP,,,,,
505,"Escobar, Raquel",Intro to Amer Indian Studies,101.0,2019-fa,2.0,13.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,AIS 101,,US,HP,,,
506,"Soto, Silvia",Intro to Amer Indian Studies,101.0,2019-fa,9.0,22.0,9.0,5.0,17.0,5.0,2.0,7.0,3.0,0.0,0.0,0.0,3.0,3.0,AIS 101,,US,HP,,,
507,"Espiritu, Augusto F",Asian American History,283.0,2019-fa,1.0,12.0,5.0,3.0,13.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,AAS 283,,US,HP,,,
508,"Espiritu, Augusto F",Asian American History,283.0,2019-fa,1.0,12.0,5.0,3.0,13.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,HIST 283,,US,HP,,,
509,"Evans, Graham C",Data Structures,225.0,2019-fa,24.0,467.0,48.0,43.0,38.0,19.0,23.0,20.0,17.0,9.0,10.0,10.0,27.0,2.0,CS 225,,,,,QR2,
510,"Fagen-Ulmschnei, Wade A",Data Structures,225.0,2018-fa,25.0,408.0,41.0,45.0,44.0,22.0,28.0,22.0,15.0,6.0,9.0,11.0,21.0,9.0,CS 225,,,,,QR2,
511,"Farr, Jeffrey R",Nature and American Culture,242.0,2019-fa,0.0,1126.0,0.0,0.0,109.0,0.0,0.0,51.0,0.0,0.0,8.0,0.0,37.0,2.0,LA 242,,WCC,,,,
512,"Farr, Jeffrey R",Nature and American Culture,242.0,2019-fa,0.0,1126.0,0.0,0.0,109.0,0.0,0.0,51.0,0.0,0.0,8.0,0.0,37.0,2.0,NRES 242,,WCC,,,,
513,"Farr, Jeffrey R",Nature and American Culture,242.0,2019-fa,0.0,1126.0,0.0,0.0,109.0,0.0,0.0,51.0,0.0,0.0,8.0,0.0,37.0,2.0,RST 242,,WCC,,,,
514,"Fennell, Christopher",World Archaeology,105.0,2019-fa,11.0,5.0,12.0,4.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,ANTH 105,,,HP,,,
515,"Findley, Kelly P",Biostatistics,212.0,2019-fa,87.0,111.0,61.0,35.0,28.0,13.0,8.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,STAT 212,,,,,QR1,
516,"Finke, Michael C",Golden Age of Russian Lit,220.0,2018-fa,0.0,5.0,1.0,2.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,CWL 227,,,LA,,,
517,"Finke, Michael C",Golden Age of Russian Lit,220.0,2018-fa,0.0,5.0,1.0,2.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,RUSS 220,,,LA,,,
518,"Fireman, Ellen S",Statistical Analysis,200.0,2018-fa,15.0,54.0,27.0,13.0,23.0,8.0,4.0,8.0,2.0,3.0,0.0,1.0,0.0,1.0,STAT 200,,,,,QR1,
519,"Flanagan, Karle A",Statistical Analysis,200.0,2018-fa,40.0,46.0,18.0,13.0,16.0,5.0,9.0,4.0,1.0,2.0,1.0,0.0,2.0,0.0,STAT 200,,,,,QR1,
520,"Wu, Teng",Statistical Analysis,200.0,2018-fa,5.0,21.0,5.0,7.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,STAT 200,,,,,QR1,
521,"Yin, Wenjing",Statistical Analysis,200.0,2018-fa,2.0,25.0,7.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,STAT 200,,,,,QR1,
522,"Yun, Sooin",Statistical Analysis,200.0,2018-fa,6.0,18.0,5.0,4.0,5.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,STAT 200,,,,,QR1,
523,"Fireman, Ellen S",Statistics,100.0,2018-fa,54.0,116.0,59.0,62.0,36.0,39.0,25.0,26.0,10.0,4.0,7.0,6.0,8.0,2.0,STAT 100,,,,,QR1,
524,"Flanagan, Karle A",Statistics,100.0,2018-fa,123.0,300.0,164.0,156.0,128.0,89.0,49.0,51.0,34.0,25.0,8.0,6.0,19.0,4.0,STAT 100,,,,,QR1,
525,"Fischer-Brown, Amy E",Companion Animal Biology &Care,207.0,2019-fa,32.0,60.0,18.0,13.0,23.0,9.0,0.0,13.0,2.0,3.0,2.0,2.0,5.0,1.0,ANSC 207,,,,LS,,
526,"Flanagan, Karle A",Data Science Discovery,107.0,2019-fa,6.0,109.0,7.0,13.0,11.0,4.0,3.0,3.0,3.0,4.0,2.0,0.0,5.0,2.0,CS 107,,,,,QR1,
527,"Flanagan, Karle A",Data Science Discovery,107.0,2019-fa,6.0,109.0,7.0,13.0,11.0,4.0,3.0,3.0,3.0,4.0,2.0,0.0,5.0,2.0,IS 107,,,,,QR1,
528,"Flanagan, Karle A",Data Science Discovery,107.0,2019-fa,6.0,109.0,7.0,13.0,11.0,4.0,3.0,3.0,3.0,4.0,2.0,0.0,5.0,2.0,STAT 107,,,,,QR1,
529,"Flanagan, Karle A",Statistics,100.0,2019-fa,140.0,248.0,158.0,134.0,109.0,61.0,62.0,49.0,31.0,23.0,24.0,6.0,21.0,6.0,STAT 100,,,,,QR1,
530,"Yu, Albert",Statistics,100.0,2019-fa,19.0,72.0,23.0,45.0,32.0,12.0,8.0,19.0,3.0,5.0,4.0,3.0,9.0,1.0,STAT 100,,,,,QR1,
531,"Fliflet, Arne W",Senior Design Project Lab,445.0,2018-fa,9.0,21.0,14.0,11.0,25.0,13.0,7.0,10.0,4.0,3.0,2.0,0.0,2.0,0.0,ECE 445,ACP,,,,,
532,"Fliflet, Arne W",Senior Design Project Lab,445.0,2019-fa,12.0,26.0,8.0,16.0,25.0,6.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,ECE 445,ACP,,,,,
533,"Floess, Joachim",Process Design,431.0,2019-fa,12.0,23.0,17.0,7.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHBE 431,ACP,,,,,
534,"Folwaczny, Lena C",Calculus I,221.0,2018-fa,29.0,75.0,52.0,66.0,64.0,49.0,31.0,21.0,31.0,12.0,5.0,2.0,2.0,1.0,MATH 221,,,,,QR1,
535,"Guzman, Rosemary K",Calculus I,221.0,2018-fa,19.0,47.0,32.0,62.0,66.0,47.0,29.0,36.0,23.0,30.0,4.0,2.0,17.0,4.0,MATH 221,,,,,QR1,
536,"Folwaczny, Lena C",Calculus I,221.0,2019-fa,25.0,59.0,23.0,32.0,77.0,39.0,32.0,40.0,21.0,5.0,11.0,8.0,1.0,1.0,MATH 221,,,,,QR1,
537,"Guzman, Rosemary K",Calculus I,221.0,2019-fa,22.0,52.0,35.0,39.0,69.0,26.0,22.0,36.0,17.0,6.0,11.0,7.0,13.0,1.0,MATH 221,,,,,QR1,
538,"Frame, Jeffrey",Introduction to Meteorology,100.0,2018-fa,26.0,53.0,31.0,24.0,47.0,7.0,3.0,4.0,2.0,1.0,0.0,2.0,2.0,0.0,ATMS 100,,,,PS,,
539,"Frame, Jeffrey",Introduction to Meteorology,100.0,2018-fa,26.0,53.0,31.0,24.0,47.0,7.0,3.0,4.0,2.0,1.0,0.0,2.0,2.0,0.0,GEOG 100,,,,PS,,
540,"Frame, Jeffrey",Introduction to Meteorology,100.0,2019-fa,21.0,33.0,19.0,10.0,29.0,7.0,4.0,5.0,1.0,1.0,0.0,2.0,3.0,0.0,ATMS 100,,,,PS,,
541,"Frame, Jeffrey",Introduction to Meteorology,100.0,2019-fa,21.0,33.0,19.0,10.0,29.0,7.0,4.0,5.0,1.0,1.0,0.0,2.0,3.0,0.0,GEOG 100,,,,PS,,
542,"Fuchs, Ofira",Anthro in a Changing World,103.0,2018-fa,129.0,84.0,46.0,16.0,20.0,9.0,5.0,6.0,1.0,2.0,0.0,0.0,3.0,0.0,ANTH 103,,NW,,,,SS
543,"Sohn, Agnes",Anthro in a Changing World,103.0,2018-fa,7.0,24.0,35.0,15.0,32.0,23.0,6.0,11.0,4.0,2.0,7.0,3.0,2.0,0.0,ANTH 103,,NW,,,,SS
544,"Gadway, Bryce",University Physics: Mechanics,211.0,2019-fa,47.0,37.0,35.0,23.0,31.0,21.0,18.0,20.0,11.0,3.0,2.0,3.0,4.0,0.0,PHYS 211,,,,PS,QR2,
545,"MacDougall, Gregory",University Physics: Mechanics,211.0,2019-fa,33.0,31.0,21.0,26.0,39.0,13.0,21.0,14.0,11.0,1.0,2.0,3.0,3.0,0.0,PHYS 211,,,,PS,QR2,
546,"Noronha-Hostler, Jacquely",University Physics: Mechanics,211.0,2019-fa,23.0,25.0,21.0,19.0,38.0,16.0,12.0,18.0,6.0,7.0,6.0,4.0,2.0,2.0,PHYS 211,,,,PS,QR2,
547,"Gammie, Charles F",College Physics: Mech & Heat,101.0,2018-fa,63.0,60.0,41.0,34.0,39.0,46.0,26.0,24.0,14.0,6.0,5.0,6.0,0.0,2.0,PHYS 101,,,,PS,QR2,
548,"Gargiulo, Megan E",Intro Gender & Women's Studies,100.0,2018-fa,1.0,13.0,13.0,8.0,10.0,4.0,7.0,2.0,1.0,5.0,5.0,0.0,13.0,0.0,GWS 100,,,,,,SS
549,"Gargiulo, Megan E",Intro Gender & Women's Studies,100.0,2018-fa,1.0,13.0,13.0,8.0,10.0,4.0,7.0,2.0,1.0,5.0,5.0,0.0,13.0,0.0,HDFS 140,,,,,,SS
550,"Gargiulo, Megan E",Intro Gender & Women's Studies,100.0,2018-fa,1.0,13.0,13.0,8.0,10.0,4.0,7.0,2.0,1.0,5.0,5.0,0.0,13.0,0.0,SOC 130,,,,,,SS
551,"Garthe, Rachel C",Intro Stat for Social Work,225.0,2018-fa,10.0,7.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SOCW 225,,,,,QR1,
552,"Garthe, Rachel C",Intro Stat for Social Work,225.0,2019-fa,3.0,8.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,SOCW 225,,,,,QR1,
553,"Ghanoui, Saniya L",Global History,100.0,2018-fa,2.0,46.0,3.0,4.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,HIST 100,,NW,HP,,,
554,"Ito, Koji",Global History,100.0,2018-fa,4.0,29.0,3.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,HIST 100,,NW,HP,,,
555,"Osei, Cassandra A",Global History,100.0,2018-fa,9.0,49.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,HIST 100,,NW,HP,,,
556,"Yost, Franziska M",Global History,100.0,2018-fa,0.0,21.0,4.0,4.0,14.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,HIST 100,,NW,HP,,,
557,"Gilbert, Matthew S",Encounters in Native America,277.0,2018-fa,2.0,21.0,8.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,AIS 277,,US,HP,,,
558,"Gilbert, Matthew S",Encounters in Native America,277.0,2018-fa,2.0,21.0,8.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,HIST 277,,US,HP,,,
559,"Gilmore, Shawn P",Intro to Fiction-ACP,109.0,2018-fa,0.0,2.0,8.0,4.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,ENGL 109,ACP,,LA,,,
560,"O'Brien, Valerie E",Intro to Fiction-ACP,109.0,2018-fa,0.0,14.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ENGL 109,ACP,,LA,,,
561,"Valentine, Suzanne C",Intro to Fiction-ACP,109.0,2018-fa,6.0,10.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ENGL 109,ACP,,LA,,,
562,"Gilmore, Shawn P",Principles Bus Comm,250.0,2019-fa,0.0,2.0,10.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BTW 250,ACP,,,,,
563,"Hapke, Gail L",Principles Bus Comm,250.0,2019-fa,4.0,18.0,11.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BTW 250,ACP,,,,,
564,"Hudek, Barry A",Principles Bus Comm,250.0,2019-fa,0.0,21.0,7.0,7.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BTW 250,ACP,,,,,
565,"Kelly, Daniel",Principles Bus Comm,250.0,2019-fa,0.0,25.0,20.0,10.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,BTW 250,ACP,,,,,
566,"McGuire, Lee",Principles Bus Comm,250.0,2019-fa,0.0,9.0,31.0,19.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BTW 250,ACP,,,,,
567,"McVicker, Zachariah P",Principles Bus Comm,250.0,2019-fa,0.0,23.0,10.0,4.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BTW 250,ACP,,,,,
568,"Moss, Andrew P",Principles Bus Comm,250.0,2019-fa,0.0,6.0,3.0,6.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BTW 250,ACP,,,,,
569,"Nafziger, Jason R",Principles Bus Comm,250.0,2019-fa,4.0,7.0,4.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,BTW 250,ACP,,,,,
570,"Ricketts, Scott",Principles Bus Comm,250.0,2019-fa,0.0,7.0,6.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,BTW 250,ACP,,,,,
